Package,LibPath,Version,Priority,Built
acepack,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.1,NA,3.6.1
askpass,C:/Users/jkee2/Documents/R/win-library/3.6,1.1,NA,3.6.1
assertthat,C:/Users/jkee2/Documents/R/win-library/3.6,0.2.1,NA,3.6.1
backports,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.4,NA,3.6.0
base64enc,C:/Users/jkee2/Documents/R/win-library/3.6,0.1-3,NA,3.6.0
BH,C:/Users/jkee2/Documents/R/win-library/3.6,1.69.0-1,NA,3.6.0
brew,C:/Users/jkee2/Documents/R/win-library/3.6,1.0-6,NA,3.6.0
broom,C:/Users/jkee2/Documents/R/win-library/3.6,0.5.2,NA,3.6.1
callr,C:/Users/jkee2/Documents/R/win-library/3.6,3.3.1,NA,3.6.1
cellranger,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.0,NA,3.6.1
checkmate,C:/Users/jkee2/Documents/R/win-library/3.6,1.9.4,NA,3.6.1
cli,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.0,NA,3.6.1
clipr,C:/Users/jkee2/Documents/R/win-library/3.6,0.7.0,NA,3.6.1
clisymbols,C:/Users/jkee2/Documents/R/win-library/3.6,1.2.0,NA,3.6.2
coin,C:/Users/jkee2/Documents/R/win-library/3.6,1.3-1,NA,3.6.2
colorspace,C:/Users/jkee2/Documents/R/win-library/3.6,1.4-1,NA,3.6.1
commonmark,C:/Users/jkee2/Documents/R/win-library/3.6,1.7,NA,3.6.2
covr,C:/Users/jkee2/Documents/R/win-library/3.6,3.4.0,NA,3.6.2
crayon,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.4,NA,3.6.1
crosstalk,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.2
curl,C:/Users/jkee2/Documents/R/win-library/3.6,4.0,NA,3.6.1
data.table,C:/Users/jkee2/Documents/R/win-library/3.6,1.12.2,NA,3.6.1
DBI,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.1
dbplyr,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.2,NA,3.6.1
desc,C:/Users/jkee2/Documents/R/win-library/3.6,1.2.0,NA,3.6.2
devtools,C:/Users/jkee2/Documents/R/win-library/3.6,2.2.1,NA,3.6.2
digest,C:/Users/jkee2/Documents/R/win-library/3.6,0.6.20,NA,3.6.1
dplyr,C:/Users/jkee2/Documents/R/win-library/3.6,0.8.3,NA,3.6.1
DT,C:/Users/jkee2/Documents/R/win-library/3.6,0.11,NA,3.6.2
ellipsis,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.0,NA,3.6.2
evaluate,C:/Users/jkee2/Documents/R/win-library/3.6,0.14,NA,3.6.1
exactRankTests,C:/Users/jkee2/Documents/R/win-library/3.6,0.8-30,NA,3.6.1
fansi,C:/Users/jkee2/Documents/R/win-library/3.6,0.4.0,NA,3.6.1
fastmap,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.1,NA,3.6.2
forcats,C:/Users/jkee2/Documents/R/win-library/3.6,0.4.0,NA,3.6.1
Formula,C:/Users/jkee2/Documents/R/win-library/3.6,1.2-3,NA,3.6.0
fs,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.1,NA,3.6.2
generics,C:/Users/jkee2/Documents/R/win-library/3.6,0.0.2,NA,3.6.1
ggplot2,C:/Users/jkee2/Documents/R/win-library/3.6,3.2.0,NA,3.6.0
git2r,C:/Users/jkee2/Documents/R/win-library/3.6,0.26.1,NA,3.6.2
glue,C:/Users/jkee2/Documents/R/win-library/3.6,1.3.1,NA,3.6.1
gridExtra,C:/Users/jkee2/Documents/R/win-library/3.6,2.3,NA,3.6.1
gtable,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.0,NA,3.6.1
haven,C:/Users/jkee2/Documents/R/win-library/3.6,2.1.1,NA,3.6.1
here,C:/Users/jkee2/Documents/R/win-library/3.6,0.1,NA,3.6.2
highr,C:/Users/jkee2/Documents/R/win-library/3.6,0.8,NA,3.6.1
Hmisc,C:/Users/jkee2/Documents/R/win-library/3.6,4.2-0,NA,3.6.1
hms,C:/Users/jkee2/Documents/R/win-library/3.6,0.5.0,NA,3.6.1
htmlTable,C:/Users/jkee2/Documents/R/win-library/3.6,1.13.1,NA,3.6.1
htmltools,C:/Users/jkee2/Documents/R/win-library/3.6,0.4.0,NA,3.6.2
htmlwidgets,C:/Users/jkee2/Documents/R/win-library/3.6,1.3,NA,3.6.1
httpuv,C:/Users/jkee2/Documents/R/win-library/3.6,1.5.2,NA,3.6.2
httr,C:/Users/jkee2/Documents/R/win-library/3.6,1.4.1,NA,3.6.1
ini,C:/Users/jkee2/Documents/R/win-library/3.6,0.3.1,NA,3.6.2
installr,C:/Users/jkee2/Documents/R/win-library/3.6,0.22.0,NA,3.6.2
jsonlite,C:/Users/jkee2/Documents/R/win-library/3.6,1.6,NA,3.6.1
kableExtra,C:/Users/jkee2/Documents/R/win-library/3.6,1.1.0,NA,3.6.1
knitr,C:/Users/jkee2/Documents/R/win-library/3.6,1.23,NA,3.6.1
labeling,C:/Users/jkee2/Documents/R/win-library/3.6,0.3,NA,3.6.0
later,C:/Users/jkee2/Documents/R/win-library/3.6,1.0.0,NA,3.6.2
latticeExtra,C:/Users/jkee2/Documents/R/win-library/3.6,0.6-28,NA,3.6.1
lazyeval,C:/Users/jkee2/Documents/R/win-library/3.6,0.2.2,NA,3.6.1
libcoin,C:/Users/jkee2/Documents/R/win-library/3.6,1.0-5,NA,3.6.2
lifecycle,C:/Users/jkee2/Documents/R/win-library/3.6,0.1.0,NA,3.6.1
